vacancy name,vacancy link,salary,suite_info,city
Backend python разработчик,https://hh.ru/vacancy/38799261?query=Python,нет сведений о заработной плате, Билайн,Москва
Программист Python,https://hh.ru/vacancy/38810095?query=Python,"{'minimum': 130000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО ВойсЛинк,"Москва, Тимирязевская и еще 2 "
С/С++/Python Developer,https://hh.ru/vacancy/38918960?query=Python,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",ООО Искусственный интеллект,Москва
Senior ML Engineer,https://hh.ru/vacancy/38802418?query=Python,"{'minimum': 3000, 'maximum': 'нет сведений', 'currency': 'USD'}", ecomsolutions,Москва
Python Developer,https://hh.ru/vacancy/38650571?query=Python,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",ООО Хантфлоу,"Москва, Дмитровская"
Разработчик Python 3 Django,https://hh.ru/vacancy/38743313?query=Python,нет сведений о заработной плате, IBS,"Москва, Дмитровская"
QA / Автотестировщик (Python),https://hh.ru/vacancy/37856224?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}", Bell Integrator,Москва
Backend-разработчик Python + Django (Middle/Senior),https://hh.ru/vacancy/39025860?query=Python,"{'minimum': 120000, 'maximum': 200000, 'currency': 'руб.'}", Zonesmart,"Москва, Павелецкая"
Python разработчик в Умные устройства,https://hh.ru/vacancy/38514489?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
Python Django разработчик,https://hh.ru/vacancy/39020203?query=Python,нет сведений о заработной плате,ООО Юником,Москва
Программист Python,https://hh.ru/vacancy/38935769?query=Python,нет сведений о заработной плате,ООО Север,Москва
Python разработчик,https://hh.ru/vacancy/38547443?query=Python,нет сведений о заработной плате, МойОфис,Москва
Front-end разработчик (Python/django),https://hh.ru/vacancy/38931639?query=Python,нет сведений о заработной плате, М.Видео-Эльдорадо. Офис,"Москва, Бауманская и еще 2 "
Python - разработчик,https://hh.ru/vacancy/38813121?query=Python,нет сведений о заработной плате," DataLine, Компания","Москва, Авиамоторная и еще 3 "
Программист Python,https://hh.ru/vacancy/34608956?query=Python,нет сведений о заработной плате,ООО Сервионика,Москва
Python senior developer,https://hh.ru/vacancy/37115745?query=Python,"{'minimum': 180000, 'maximum': 250000, 'currency': 'руб.'}", BestDoctor,Москва
Data Scientist (Computer Vision),https://hh.ru/vacancy/38090271?query=Python,"{'minimum': 90000, 'maximum': 200000, 'currency': 'руб.'}", Tevian (ООО Технологии видеоанализа),Москва
Python-разработчик,https://hh.ru/vacancy/39064220?query=Python,нет сведений о заработной плате, MGCOM,"Москва, Цветной бульвар"
Программист с опытом разработки на Gо/Java/Python удаленно.,https://hh.ru/vacancy/39054631?query=Python,нет сведений о заработной плате, GranSoft,Москва
