vacancy name,vacancy link,salary,suite_info,city
Программист Python,https://hh.ru/vacancy/38991528?query=Python,"{'minimum': 140000, 'maximum': 210000, 'currency': 'руб.'}", Star-staff,Москва
Программист Python,https://hh.ru/vacancy/34608956?query=Python,нет сведений о заработной плате,ООО Сервионика,Москва
Python Developer,https://hh.ru/vacancy/39055532?query=Python,нет сведений о заработной плате, Elect Hunter,Москва
"Стажёр (по анализу данных, data science)",https://hh.ru/vacancy/36154902?query=Python,нет сведений о заработной плате,ООО САС Институт,Москва
Python developer / Python разработчик,https://hh.ru/vacancy/38543143?query=Python,"{'minimum': 90000, 'maximum': 120000, 'currency': 'руб.'}", SCORISTA,Москва
"Разработчик автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/38036578?query=Python,"{'minimum': 3000, 'maximum': 'нет сведений', 'currency': 'USD'}", NetworkOptix,Москва
Junior Data Engineer,https://hh.ru/vacancy/38700859?query=Python,"{'minimum': 100000, 'maximum': 150000, 'currency': 'руб.'}", Платформа ОФД,"Москва, Лужники и еще 1 "
Machine Learning Engineer,https://hh.ru/vacancy/38986958?query=Python,"{'minimum': 'нет сведений', 'maximum': 200000, 'currency': 'руб.'}",ООО Claire&Clarté,Москва
Программист Python,https://hh.ru/vacancy/38810095?query=Python,"{'minimum': 130000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО ВойсЛинк,"Москва, Тимирязевская и еще 2 "
Разработчик (Python),https://hh.ru/vacancy/38401769?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО Лаборатория Наносемантика,Москва
Python Developer,https://hh.ru/vacancy/38650571?query=Python,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",ООО Хантфлоу,"Москва, Дмитровская"
С/С++/Python Developer,https://hh.ru/vacancy/38918960?query=Python,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",ООО Искусственный интеллект,Москва
QA / Автотестировщик (Python),https://hh.ru/vacancy/37856224?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}", Bell Integrator,Москва
Разработчик Python,https://hh.ru/vacancy/39124843?query=Python,нет сведений о заработной плате, Bell Integrator,Москва
